,title,date,author,gender
0,Conceptual Foundations of Quantum Field Theory,1999-04-29,Not Found,unknown
1,Detectors for Particle Radiation by Konrad Kleinknecht,1999-04-29,Not Found,unknown
2,From Hiroshima to the Iceman,1999-05-27,Not Found,unknown
3,Making Physics: a Biography of Brookhaven National Laboratory,1999-05-27,"David C Rahm , Brookhaven.",male
4,Superconductivity of Metals and Alloys,1999-06-27,Not Found,unknown
5,Theory of Superconductivity,1999-06-27,Not Found,unknown
6,Elementary Excitations in Solids,1999-06-27,Not Found,unknown
7,Introduction to Superstrings and M-Theory (2nd edn),1999-06-27,Not Found,unknown
8,Conceptual Foundations of Quantum Mechanics,1999-06-27,Not Found,unknown
9,"The MATHEMATICA Book, Version 4,",1999-06-27,Wolfgang Lerche.,male
10,Accelerator Physics,1999-06-27,Helmut Burkhardt .,male
11,Mathematical Methods of Physics,1999-06-27,Not Found,unknown
12,The Bible According to Einstein,1999-08-30,"James Gillies , CERN.",male
13,Pulsars as Astrophysical Laboratories for Nuclear and Particle Physics,1999-09-26,Not Found,unknown
14,FORTRAN 90/95 explained,1999-09-26,Not Found,unknown
15,CP Violation,1999-09-26,Not Found,unknown
16,High Field Superconducting Magnets,1999-09-26,Not Found,unknown
17,"Cyclotrons and their Applications 1998 – Proceedings of the 15th International Conference on Cyclotrons and their Applications, Caen, France, 14-19 June 1998",1999-09-26,Not Found,unknown
18,The Symbolic Universe: Geometry and Physics 1890-1930,1999-09-26,Not Found,unknown
19,Effective Medium Theory – Principles and Applications,1999-09-26,Not Found,unknown
20,Duality and Supersymmetric Theories,1999-09-26,Not Found,unknown
21,The New World of Mr Tompkins,1999-11-02,"Gordon Fraser , CERN.",male
22,CPT and Lorentz Symmetry,1999-11-02,Not Found,unknown
23,Spectral Asymptotics in the Semi-Classical Limit,1999-11-02,Not Found,unknown
24,Heavy Water and the Wartime Race for Nuclear Energy,1999-11-29,"Gordon Fraser , CERN.",male
25,Elementary Particles and the Laws of Physics,1999-11-29,Not Found,unknown
26,Handbook of Accelerator Physics and Engineering,1999-11-29,Maury Tigner.,male
27,Weaving the Web – The Original Design and Ultimate Destiny of the World Wide Web by its Inventor,2000-01-27,"James Gillies , CERN.",male
28,The Standard Model in the Making – Precision Study of the Electroweak Interactions,2000-01-27,"Guido Altarelli , CERN and Rome III.",male
29,Bruno Touschek and the Birth of e+e- Physics,2000-01-27,Not Found,unknown
30,CP Violation,2000-01-27,Not Found,unknown
31,Beyond Conventional Quantization,2000-01-27,Not Found,unknown
32,Introductory Statistical Mechanics,2000-03-15,Not Found,unknown
33,Particle Astrophysics,2000-03-15,Not Found,unknown
34,Quantum Processes in Semiconductors,2000-03-15,Not Found,unknown
35,Dynamics and Relativity,2000-03-15,Not Found,unknown
36,The Physics of Foams,2000-03-15,Not Found,unknown
37,Defect and Microstructure Analysis by Diffraction,2000-03-15,Not Found,unknown
38,Dynamics of Heavy Electrons,2000-03-15,Not Found,unknown
39,Lucifer’s Legacy: the Meaning of Asymmetry,2000-04-18,"Yves Sacquin , Saclay.",male
40,The Quantum Theory of Fields III: Supersymmetry,2000-04-18,"Sergio Ferrara , CERN.",male
41,Cosmology: the Science of the Universe,2000-04-18,"Steve Reucroft , Northeastern University.",male
42,Gauge Theory of Elementary Particle Physics: Problems and Solutions,2000-05-30,Not Found,unknown
43,Unifying themes in Complex Systems,2000-05-30,Not Found,unknown
44,"Quintessence, the Mystery of the Missing Mass in the Universe",2000-05-30,"Pedro G Ferreira , Oxford.",male
45,Principles of Applied Mathematics: Transformation and Approximation,2000-05-30,Not Found,unknown
46,Journeys Beyond the Standard Model,2000-05-30,"Gian Francesco Giudice , Theoretical Physics Division, CERN.",male
47,Supersymmetry – Unveiling the Ultimate Laws of Nature,2000-05-30,"Daniel Treille , CERN.",male
48,The Theory of Quantum Liquids,2000-05-30,Not Found,unknown
49,Introduction to High Energy Physics,2000-05-30,"Rüdiger Voss , CERN.",male
50,Lie Algebras in Particle Physics,2000-06-27,"J L F Barbon , CERN.",unknown
51,Statistical Models for Nuclear Decay: from Evaporation to Vaporization,2000-06-27,Not Found,unknown
52,Strange Beauty: Murray Gell-Mann and the Revolution in 20th Century Physics,2000-06-27,Sheldon Lee Glashow .,male
53,Rutherford – Scientist Supreme,2000-08-17,"Gordon Fraser , CERN.",male
54,Antimatter – the Ultimate Mirror,2000-08-17,"Gordon Kane,  Michigan.",male
55,Painstaking research,2000-08-17,Not Found,unknown
56,Knots and Feynman Diagrams,2000-09-21,Not Found,unknown
57,Cosmic Strings and Other Topological Defects,2000-09-21,Not Found,unknown
58,The Physics of Particle Detection,2000-09-21,"Claus Grupen , Siegen.",male
59,"High Energy Physics 99: Proceedings of the International Europhysics Conference on High Energy Physics, Tampere, Finland, 15-21 July 1999",2000-10-30,Not Found,unknown
